,ensid,symbol
189,ENSG00000068903,SIRT2
190,ENSG00000069020,MAST4
191,ENSG00000069248,NUP133
192,ENSG00000069535,MAOB
193,ENSG00000069849,ATP1B3
194,ENSG00000069943,PIGB
195,ENSG00000069956,MAPK6
196,ENSG00000070214,SLC44A1
197,ENSG00000070501,POLB
198,ENSG00000070610,GBA2
199,ENSG00000070614,NDST1
200,ENSG00000070669,ASNS
201,ENSG00000070770,CSNK2A2
202,ENSG00000070778,PTPN21
203,ENSG00000070961,ATP2B1
204,ENSG00000071054,MAP4K4
205,ENSG00000071073,MGAT4A
206,ENSG00000071242,RPS6KA2
207,ENSG00000071553,ATP6AP1
208,ENSG00000071967,CYBRD1
209,ENSG00000072042,RDH11
210,ENSG00000072062,PRKACA
211,ENSG00000072135,PTPN18
212,ENSG00000072195,SPEG
213,ENSG00000072210,ALDH3A2
214,ENSG00000072310,SREBF1
215,ENSG00000072506,HSD17B10
216,ENSG00000072518,MARK2
217,ENSG00000072682,P4HA2
218,ENSG00000072778,ACADVL
219,ENSG00000072786,STK10
220,ENSG00000073060,SCARB1
221,ENSG00000073111,MCM2
222,ENSG00000073417,PDE8A
223,ENSG00000073578,SDHA
224,ENSG00000073711,PPP2R3A
225,ENSG00000073756,PTGS2
226,ENSG00000073803,MAP3K13
227,ENSG00000073969,NSF
228,ENSG00000074416,MGLL
229,ENSG00000074590,NUAK1
230,ENSG00000074696,HACD3
231,ENSG00000074800,ENO1
232,ENSG00000075188,NUP37
233,ENSG00000075239,ACAT1
234,ENSG00000075413,MARK3
235,ENSG00000075415,SLC25A3
236,ENSG00000075651,PLD1
237,ENSG00000076003,MCM6
238,ENSG00000076201,PTPN23
239,ENSG00000076258,FMO4
240,ENSG00000076351,SLC46A1
241,ENSG00000076555,ACACB
242,ENSG00000076685,NT5C2
243,ENSG00000076984,MAP2K7
244,ENSG00000077044,DGKD
245,ENSG00000077264,PAK3
246,ENSG00000077463,SIRT6
247,ENSG00000077514,POLD3
248,ENSG00000077782,FGFR1
249,ENSG00000078061,ARAF
250,ENSG00000078070,MCCC1
251,ENSG00000078124,ACER3
252,ENSG00000078142,PIK3C3
253,ENSG00000078237,TIGAR
254,ENSG00000078269,SYNJ2
255,ENSG00000079215,SLC1A3
256,ENSG00000079277,MKNK1
257,ENSG00000079335,CDC14A
258,ENSG00000079435,LIPE
259,ENSG00000079459,FDFT1
260,ENSG00000079462,PAFAH1B3
261,ENSG00000079739,PGM1
262,ENSG00000079785,DDX1
263,ENSG00000079805,DNM2
264,ENSG00000079931,MOXD1
265,ENSG00000080819,CPOX
266,ENSG00000080823,MOK
267,ENSG00000081181,ARG2
268,ENSG00000081320,STK17B
269,ENSG00000081377,CDC14B
270,ENSG00000081721,DUSP12
271,ENSG00000081760,AACS
272,ENSG00000081800,SLC13A1
273,ENSG00000081913,PHLPP1
274,ENSG00000081923,ATP8B1
275,ENSG00000082212,ME2
276,ENSG00000083123,BCKDHB
277,ENSG00000083223,TUT7
278,ENSG00000083290,ULK2
279,ENSG00000083444,PLOD1
280,ENSG00000083720,OXCT1
281,ENSG00000083807,SLC27A5
282,ENSG00000084090,STARD7
283,ENSG00000084110,HAL
284,ENSG00000084112,SSH1
285,ENSG00000084207,GSTP1
286,ENSG00000084453,SLCO1A2
287,ENSG00000084754,HADHA
288,ENSG00000084774,CAD
289,ENSG00000085224,ATRX
290,ENSG00000085231,AK6
291,ENSG00000085511,MAP3K4
292,ENSG00000085662,AKR1B1
293,ENSG00000085871,MGST2
294,ENSG00000085998,POMGNT1
295,ENSG00000086015,MAST2
296,ENSG00000086062,B4GALT1
297,ENSG00000086232,EIF2AK1
298,ENSG00000086544,ITPKC
299,ENSG00000086848,ALG9
300,ENSG00000087008,ACOX3
301,ENSG00000087053,MTMR2
302,ENSG00000087095,NLK
303,ENSG00000087111,PIGS
304,ENSG00000087157,PGS1
305,ENSG00000087253,LPCAT2
306,ENSG00000087470,DNM1L
307,ENSG00000087586,AURKA
308,ENSG00000088002,SULT2B1
309,ENSG00000088035,ALG6
310,ENSG00000088179,PTPN4
311,ENSG00000088205,DDX18
312,ENSG00000088305,DNMT3B
313,ENSG00000088451,TGDS
314,ENSG00000088766,CRLS1
315,ENSG00000088826,SMOX
316,ENSG00000089022,MAPKAPK5
317,ENSG00000089057,SLC23A2
318,ENSG00000089597,GANAB
319,ENSG00000089737,DDX24
320,ENSG00000090013,BLVRB
321,ENSG00000090020,SLC9A1
322,ENSG00000090054,SPTLC1
323,ENSG00000090060,PAPOLA
324,ENSG00000090266,NDUFB2
325,ENSG00000090857,PDPR
326,ENSG00000090861,AARS1
327,ENSG00000090971,NAT14
328,ENSG00000091140,DLD
329,ENSG00000091436,MAP3K20
330,ENSG00000091483,FH
331,ENSG00000092439,TRPM7
332,ENSG00000092445,TYRO3
333,ENSG00000092621,PHGDH
334,ENSG00000092964,DPYSL2
335,ENSG00000093000,NUP50
336,ENSG00000093010,COMT
337,ENSG00000093217,XYLB
338,ENSG00000094841,UPRT
339,ENSG00000095015,MAP3K1
340,ENSG00000095139,ARCN1
341,ENSG00000095303,PTGS1
342,ENSG00000095319,NUP188
343,ENSG00000095321,CRAT
344,ENSG00000095380,NANS
345,ENSG00000095596,CYP26A1
346,ENSG00000096063,SRPK1
347,ENSG00000096717,SIRT1
348,ENSG00000096968,JAK2
349,ENSG00000097007,ABL1
350,ENSG00000097021,ACOT7
351,ENSG00000097033,SH3GLB1
352,ENSG00000097046,CDC7
353,ENSG00000099194,SCD
354,ENSG00000099377,HSD3B7
355,ENSG00000099381,SETD1A
356,ENSG00000099624,ATP5F1D
357,ENSG00000099795,NDUFB7
358,ENSG00000099797,TECR
359,ENSG00000099810,MTAP
360,ENSG00000099817,POLR2E
361,ENSG00000099821,POLRMT
362,ENSG00000099875,MKNK2
363,ENSG00000099904,ZDHHC8
364,ENSG00000099984,GSTT2
365,ENSG00000100030,MAPK1
366,ENSG00000100034,PPM1F
367,ENSG00000100075,SLC25A1
368,ENSG00000100116,GCAT
369,ENSG00000100142,POLR2F
370,ENSG00000100201,DDX17
371,ENSG00000100288,CHKB
372,ENSG00000100294,MCAT
373,ENSG00000100297,MCM5
374,ENSG00000100330,MTMR3
375,ENSG00000100354,TNRC6B
376,ENSG00000100372,SLC25A17
377,ENSG00000100412,ACO2
378,ENSG00000100413,POLR3H
379,ENSG00000100417,PMM1
380,ENSG00000100422,CERK
381,ENSG00000100479,POLE2
382,ENSG00000100490,CDKL1
383,ENSG00000100504,PYGL
384,ENSG00000100522,GNPNAT1
385,ENSG00000100526,CDKN3
386,ENSG00000100554,ATP6V1D
387,ENSG00000100564,PIGH
388,ENSG00000100577,GSTZ1
389,ENSG00000100596,SPTLC2
390,ENSG00000100600,LGMN
391,ENSG00000100605,ITPK1
392,ENSG00000100614,PPM1A
393,ENSG00000100626,GALNT16
394,ENSG00000100644,HIF1A
395,ENSG00000100652,SLC10A1
396,ENSG00000100714,MTHFD1
397,ENSG00000100749,VRK1
398,ENSG00000100784,RPS6KA5
399,ENSG00000100867,DHRS2
400,ENSG00000100888,CHD8
401,ENSG00000100889,PCK2
402,ENSG00000100938,GMPR2
403,ENSG00000100983,GSS
404,ENSG00000100994,PYGB
405,ENSG00000100997,ABHD12
406,ENSG00000101109,STK4
407,ENSG00000101187,SLCO4A1
408,ENSG00000101210,EEF1A2
409,ENSG00000101224,CDC25B
410,ENSG00000101255,TRIB3
411,ENSG00000101266,CSNK2A1
412,ENSG00000101290,CDS2
413,ENSG00000101306,MYLK2
414,ENSG00000101333,PLCB4
415,ENSG00000101350,KIF3B
416,ENSG00000101365,IDH3B
417,ENSG00000101444,AHCY
418,ENSG00000101452,DHX35
419,ENSG00000101464,PIGU
420,ENSG00000101473,ACOT8
421,ENSG00000101558,VAPA
422,ENSG00000101577,LPIN2
423,ENSG00000101638,ST8SIA5
424,ENSG00000101751,POLI
425,ENSG00000101782,RIOK3
426,ENSG00000101846,STS
427,ENSG00000101868,POLA1
428,ENSG00000101901,ALG13
429,ENSG00000101911,PRPS2
430,ENSG00000101945,SUV39H1
431,ENSG00000101974,ATP11C
432,ENSG00000101986,ABCD1
433,ENSG00000102030,NAA10
434,ENSG00000102078,SLC25A14
435,ENSG00000102096,PIM2
436,ENSG00000102100,SLC35A2
437,ENSG00000102125,TAFAZZIN
438,ENSG00000102144,PGK1
439,ENSG00000102172,SMS
440,ENSG00000102225,CDK16
441,ENSG00000102312,PORCN
442,ENSG00000102393,GLA
443,ENSG00000102572,STK24
444,ENSG00000102595,UGGT2
445,ENSG00000102743,SLC25A15
446,ENSG00000102780,DGKH
447,ENSG00000102781,KATNAL1
448,ENSG00000102882,MAPK3
449,ENSG00000102893,PHKB
450,ENSG00000102900,NUP93
451,ENSG00000102967,DHODH
452,ENSG00000102978,POLR2C
453,ENSG00000103024,NME3
454,ENSG00000103044,HAS3
455,ENSG00000103064,SLC7A6
456,ENSG00000103066,PLA2G15
457,ENSG00000103150,MLYCD
458,ENSG00000103202,NME4
459,ENSG00000103222,ABCC1
460,ENSG00000103253,HAGHL
461,ENSG00000103257,SLC7A5
462,ENSG00000103356,EARS2
463,ENSG00000103502,CDIPT
464,ENSG00000103653,CSK
465,ENSG00000103811,CTSH
466,ENSG00000103876,FAH
467,ENSG00000104205,SGK3
468,ENSG00000104219,ZDHHC2
469,ENSG00000104312,RIPK2
470,ENSG00000104325,DECR1
471,ENSG00000104331,BPNT2
472,ENSG00000104365,IKBKB
473,ENSG00000104375,STK3
474,ENSG00000104522,GFUS
475,ENSG00000104524,PYCR3
476,ENSG00000104549,SQLE
477,ENSG00000104635,SLC39A14
478,ENSG00000104687,GSR
479,ENSG00000104695,PPP2CB
480,ENSG00000104723,TUSC3
481,ENSG00000104738,MCM4
482,ENSG00000104763,ASAH1
483,ENSG00000104774,MAN2B1
484,ENSG00000104812,GYS1
485,ENSG00000104823,ECH1
486,ENSG00000104835,SARS2
487,ENSG00000104884,ERCC2
488,ENSG00000104885,DOT1L
489,ENSG00000104936,DMPK
490,ENSG00000105053,VRK3
491,ENSG00000105204,DYRK1B
492,ENSG00000105220,GPI
493,ENSG00000105221,AKT2
494,ENSG00000105223,PLD3
495,ENSG00000105254,TBCB
496,ENSG00000105258,POLR2I
497,ENSG00000105281,SLC1A5
498,ENSG00000105287,PRKD2
499,ENSG00000105355,PLIN3
500,ENSG00000105379,ETFB
501,ENSG00000105397,TYK2
502,ENSG00000105398,SULT2A1
503,ENSG00000105409,ATP1A3
504,ENSG00000105426,PTPRS
505,ENSG00000105499,PLA2G4C
506,ENSG00000105516,DBP
507,ENSG00000105520,PLPPR2
508,ENSG00000105552,BCAT2
509,ENSG00000105568,PPP2R1A
510,ENSG00000105607,GCDH
511,ENSG00000105618,PRPF31
512,ENSG00000105647,PIK3R2
513,ENSG00000105655,ISYNA1
514,ENSG00000105669,COPE
515,ENSG00000105671,DDX49
516,ENSG00000105810,CDK6
517,ENSG00000105835,NAMPT
518,ENSG00000105953,OGDH
519,ENSG00000105976,MET
520,ENSG00000106049,HIBADH
521,ENSG00000106105,GARS1
522,ENSG00000106258,CYP3A5
523,ENSG00000106348,IMPDH1
524,ENSG00000106392,C1GALT1
525,ENSG00000106397,PLOD3
526,ENSG00000106462,EZH2
527,ENSG00000106617,PRKAG2
528,ENSG00000106628,POLD2
529,ENSG00000106636,YKT6
530,ENSG00000106683,LIMK1
531,ENSG00000106688,SLC1A1
532,ENSG00000106733,NMRK1
533,ENSG00000106799,TGFBR1
534,ENSG00000106853,PTGR1
535,ENSG00000106976,DNM1
536,ENSG00000106992,AK1
537,ENSG00000107104,KANK1
538,ENSG00000107140,TESK1
539,ENSG00000107159,CA9
540,ENSG00000107537,PHYH
541,ENSG00000107614,TRDMT1
542,ENSG00000107625,DDX50
543,ENSG00000107643,MAPK8
544,ENSG00000107758,PPP3CB
545,ENSG00000107779,BMPR1A
546,ENSG00000107789,MINPP1
547,ENSG00000107798,LIPA
548,ENSG00000107902,LHPP
549,ENSG00000107951,MTPAP
550,ENSG00000108242,CYP2C18
551,ENSG00000108439,PNPO
552,ENSG00000108443,RPS6KB1
553,ENSG00000108468,CBX1
554,ENSG00000108469,RECQL5
555,ENSG00000108474,PIGL
556,ENSG00000108479,GALK1
557,ENSG00000108515,ENO3
558,ENSG00000108528,SLC25A11
559,ENSG00000108559,NUP88
560,ENSG00000108654,DDX5
561,ENSG00000108784,NAGLU
562,ENSG00000108799,EZH1
563,ENSG00000108839,ALOX12
564,ENSG00000108846,ABCC3
565,ENSG00000108861,DUSP3
566,ENSG00000108946,PRKAR1A
567,ENSG00000109065,NAT9
568,ENSG00000109181,UGT2B10
569,ENSG00000109193,SULT1E1
570,ENSG00000109323,MANBA
571,ENSG00000109390,NDUFC1
572,ENSG00000109576,AADAT
573,ENSG00000109586,GALNT7
574,ENSG00000109606,DHX15
575,ENSG00000109685,NSD2
576,ENSG00000109814,UGDH
577,ENSG00000109861,CTSC
578,ENSG00000109929,SC5D
579,ENSG00000110066,KMT5B
580,ENSG00000110080,ST3GAL4
581,ENSG00000110090,CPT1A
582,ENSG00000110367,DDX6
583,ENSG00000110422,HIPK3
584,ENSG00000110435,PDHX
585,ENSG00000110536,PTPMT1
586,ENSG00000110583,NAA40
587,ENSG00000110619,CARS1
588,ENSG00000110713,NUP98
589,ENSG00000110717,NDUFS8
590,ENSG00000110719,TCIRG1
591,ENSG00000110721,CHKA
592,ENSG00000110871,COQ5
593,ENSG00000110911,SLC11A2
594,ENSG00000110921,MVK
595,ENSG00000110931,CAMKK2
596,ENSG00000110955,ATP5F1B
597,ENSG00000110958,PTGES3
598,ENSG00000111012,CYP27B1
599,ENSG00000111058,ACSS3
600,ENSG00000111077,TNS2
601,ENSG00000111144,LTA4H
602,ENSG00000111237,VPS29
603,ENSG00000111261,MANSC1
604,ENSG00000111266,DUSP16
605,ENSG00000111271,ACAD10
606,ENSG00000111364,DDX55
607,ENSG00000111371,SLC38A1
608,ENSG00000111445,RFC5
609,ENSG00000111581,NUP107
610,ENSG00000111640,GAPDH
611,ENSG00000111642,CHD4
612,ENSG00000111666,CHPT1
613,ENSG00000111669,TPI1
614,ENSG00000111674,ENO2
615,ENSG00000111684,LPCAT3
616,ENSG00000111696,NT5DC3
617,ENSG00000111700,SLCO1B3
618,ENSG00000111716,LDHB
619,ENSG00000111726,CMAS
620,ENSG00000111728,ST8SIA1
621,ENSG00000111775,COX6A1
622,ENSG00000111817,DSE
623,ENSG00000111846,GCNT2
624,ENSG00000111877,MCM9
625,ENSG00000111885,MAN1A1
626,ENSG00000111962,UST
627,ENSG00000112062,MAPK14
628,ENSG00000112077,RHAG
629,ENSG00000112079,STK38
630,ENSG00000112096,SOD2
631,ENSG00000112118,MCM3
632,ENSG00000112144,CILK1
633,ENSG00000112245,PTP4A1
634,ENSG00000112294,ALDH5A1
635,ENSG00000112319,EYA4
636,ENSG00000112367,FIG4
637,ENSG00000112394,SLC16A10
638,ENSG00000112425,EPM2A
639,ENSG00000112499,SLC22A2
640,ENSG00000112655,PTK7
641,ENSG00000112679,DUSP22
642,ENSG00000112695,COX7A2
643,ENSG00000112699,GMDS
644,ENSG00000112739,PRPF4B
645,ENSG00000112742,TTK
646,ENSG00000112759,SLC29A1
647,ENSG00000112855,HARS2
648,ENSG00000112874,NUDT12
649,ENSG00000112893,MAN2A1
650,ENSG00000112941,TENT4A
651,ENSG00000112972,HMGCS1
652,ENSG00000112992,NNT
653,ENSG00000113141,IK
654,ENSG00000113161,HMGCR
655,ENSG00000113163,CERT1
656,ENSG00000113240,CLK4
657,ENSG00000113273,ARSB
658,ENSG00000113356,POLR3G
659,ENSG00000113407,TARS1
660,ENSG00000113448,PDE4D
661,ENSG00000113456,RAD1
662,ENSG00000113552,GNPDA1
663,ENSG00000113569,NUP155
664,ENSG00000113575,PPP2CA
665,ENSG00000113643,RARS1
666,ENSG00000113657,DPYSL3
667,ENSG00000113712,CSNK1A1
668,ENSG00000113721,PDGFRB
669,ENSG00000113732,ATP6V0E1
670,ENSG00000113790,EHHADH
671,ENSG00000113924,HGD
672,ENSG00000114021,NIT2
673,ENSG00000114054,PCCB
674,ENSG00000114113,RBP2
675,ENSG00000114115,RBP1
676,ENSG00000114200,BCHE
677,ENSG00000114268,PFKFB4
678,ENSG00000114302,PRKAR2A
679,ENSG00000114480,GBE1
680,ENSG00000114491,UMPS
681,ENSG00000114573,ATP6V1A
682,ENSG00000114670,NEK11
683,ENSG00000114738,MAPKAPK3
684,ENSG00000114739,ACVR2B
685,ENSG00000114770,ABCC5
686,ENSG00000114805,PLCH1
687,ENSG00000114902,SPCS1
688,ENSG00000114904,NEK4
689,ENSG00000114923,SLC4A3
690,ENSG00000114956,DGUOK
691,ENSG00000115020,PIKFYVE
692,ENSG00000115159,GPD2
693,ENSG00000115170,ACVR1
694,ENSG00000115241,PPM1G
695,ENSG00000115267,IFIH1
696,ENSG00000115275,MOGS
697,ENSG00000115286,NDUFS7
698,ENSG00000115350,POLE4
699,ENSG00000115419,GLS
700,ENSG00000115421,PAPOLG
701,ENSG00000115425,PECR
702,ENSG00000115525,ST3GAL5
703,ENSG00000115526,CHST10
704,ENSG00000115556,PLCD4
705,ENSG00000115652,UXS1
706,ENSG00000115657,ABCB6
707,ENSG00000115661,STK16
708,ENSG00000115677,HDLBP
709,ENSG00000115687,PASK
710,ENSG00000115694,STK25
711,ENSG00000115758,ODC1
712,ENSG00000115825,PRKD3
713,ENSG00000115840,SLC25A12
714,ENSG00000115866,DARS1
715,ENSG00000115884,SDC1
716,ENSG00000115902,SLC1A4
717,ENSG00000115944,COX7A2L
718,ENSG00000115977,AAK1
719,ENSG00000116005,PCYOX1
720,ENSG00000116096,SPR
721,ENSG00000116120,FARSB
722,ENSG00000116133,DHCR24
723,ENSG00000116141,MARK1
724,ENSG00000116171,SCP2
725,ENSG00000116199,FAM20B
726,ENSG00000116237,ICMT
727,ENSG00000116337,AMPD2
728,ENSG00000116353,MECR
729,ENSG00000116459,ATP5PB
730,ENSG00000116539,ASH1L
731,ENSG00000116649,SRM
732,ENSG00000116675,DNAJC6
733,ENSG00000116704,SLC35D1
734,ENSG00000116711,PLA2G4A
735,ENSG00000116761,CTH
736,ENSG00000116874,WARS2
737,ENSG00000116906,GNPAT
738,ENSG00000116984,MTR
739,ENSG00000117020,AKT3
740,ENSG00000117054,ACADM
741,ENSG00000117069,ST6GALNAC5
742,ENSG00000117118,SDHB
743,ENSG00000117143,UAP1
744,ENSG00000117305,HMGCL
745,ENSG00000117308,GALE
746,ENSG00000117394,SLC2A1
747,ENSG00000117410,ATP6V0B
748,ENSG00000117411,B4GALT2
749,ENSG00000117448,AKR1A1
750,ENSG00000117450,PRDX1
751,ENSG00000117461,PIK3R3
752,ENSG00000117479,SLC19A2
753,ENSG00000117592,PRDX6
754,ENSG00000117593,DARS2
755,ENSG00000117620,SLC35A3
756,ENSG00000117650,NEK2
757,ENSG00000117676,RPS6KA1
758,ENSG00000117682,DHDDS
759,ENSG00000117984,CTSD
760,ENSG00000118046,STK11
761,ENSG00000118058,KMT2A
762,ENSG00000118276,B4GALT6
763,ENSG00000118363,SPCS2
764,ENSG00000118402,ELOVL4
765,ENSG00000118515,SGK1
766,ENSG00000118705,RPN2
767,ENSG00000119013,NDUFB3
768,ENSG00000119227,PIGZ
769,ENSG00000119408,NEK6
770,ENSG00000119414,PPP6C
771,ENSG00000119421,NDUFA8
772,ENSG00000119523,ALG2
773,ENSG00000119537,KDSR
774,ENSG00000119638,NEK9
775,ENSG00000119640,ACYP1
776,ENSG00000119673,ACOT2
777,ENSG00000119689,DLST
778,ENSG00000119711,ALDH6A1
779,ENSG00000119723,COQ6
780,ENSG00000119772,DNMT3A
781,ENSG00000119899,SLC17A5
782,ENSG00000119927,GPAM
783,ENSG00000119938,PPP1R3C
784,ENSG00000120053,GOT1
785,ENSG00000120129,DUSP1
786,ENSG00000120137,PANK3
787,ENSG00000120253,NUP43
788,ENSG00000120254,MTHFD1L
789,ENSG00000120437,ACAT2
790,ENSG00000120539,MASTL
791,ENSG00000120697,ALG5
792,ENSG00000120820,GLT8D2
793,ENSG00000120875,DUSP4
794,ENSG00000120910,PPP3CC
795,ENSG00000120942,UBIAD1
796,ENSG00000120992,LYPLA1
797,ENSG00000121039,RDH10
798,ENSG00000121281,ADCY7
799,ENSG00000121578,B4GALT4
800,ENSG00000121579,NAA50
801,ENSG00000121691,CAT
802,ENSG00000121851,POLR3GL
803,ENSG00000121879,PIK3CA
804,ENSG00000121897,LIAS
805,ENSG00000121900,TMEM54
806,ENSG00000121989,ACVR2A
807,ENSG00000122008,POLK
808,ENSG00000122126,OCRL
809,ENSG00000122218,COPA
810,ENSG00000122390,NAA60
811,ENSG00000122484,RPAP2
812,ENSG00000122643,NT5C3A
813,ENSG00000122678,POLM
814,ENSG00000122729,ACO1
815,ENSG00000122787,AKR1D1
816,ENSG00000122863,CHST3
817,ENSG00000122884,P4HA1
818,ENSG00000122912,SLC25A16
819,ENSG00000122966,CIT
820,ENSG00000123064,DDX54
821,ENSG00000123130,ACOT9
822,ENSG00000123136,DDX39A
823,ENSG00000123143,PKN1
824,ENSG00000123374,CDK2
825,ENSG00000123472,ATPAF1
826,ENSG00000123505,AMD1
827,ENSG00000123643,SLC36A1
828,ENSG00000123684,LPGAT1
829,ENSG00000123739,PLA2G12A
830,ENSG00000123836,PFKFB2
